orbit_id,mjd_tdb,x,y,z,vx,vy,vz
60232 (1999 VL148),59010.50080074849,-2.8208267848177218,-3.298474603934299,0.21138667973812808,0.006797797638705684,-0.003786057580323956,0.0009541482634877234
60232 (1999 VL148),59011.000800748334,-2.817426613450789,-3.300366144060597,0.21186365841088617,0.006802887240988949,-0.0037801018441167055,0.0009537662513778138
60232 (1999 VL148),59011.50080074818,-2.8140238981653725,-3.30225470469749,0.21234044581327072,0.006807973311425987,-0.003774139622354597,0.0009533831818562846
60232 (1999 VL148),59012.00080074803,-2.810618640729223,-3.304140282601672,0.21281704141637015,0.006813055842702932,-0.0037681709129155114,0.0009529990540993868
60232 (1999 VL148),59012.500800747875,-2.807210842913751,-3.3060228745287716,0.2132934446908603,0.0068181348274946475,-0.003762195713675871,0.0009526138672829677
60232 (1999 VL148),59013.00080074772,-2.803800506494033,-3.307902477233359,0.21376965510700496,0.006823210258464555,-0.0037562140225108516,0.0009522276205824691
60232 (1999 VL148),59013.50080074756,-2.800387633248816,-3.30977908746894,0.21424567213465706,0.0068282821282644734,-0.0037502258372945924,0.0009518403131729258
60232 (1999 VL148),59014.00080074741,-2.7969722249605233,-3.311652701987957,0.21472149524325546,0.00683335042953447,-0.0037442311559003857,0.0009514519442289603
60232 (1999 VL148),59014.50080074726,-2.7935542834152645,-3.3135233175417893,0.21519712390182577,0.006838415154902734,-0.0037382299762008767,0.0009510625129247808
60232 (1999 VL148),59015.000800747104,-2.790133810402835,-3.3153909308807514,0.21567255757898196,0.006843476296985439,-0.0037322222960682436,0.000950672018434178
60232 (1999 VL148),59015.50080074695,-2.7867108077167257,-3.317255538754096,0.21614779574292475,0.00684853384838664,-0.0037262081133743745,0.000950280459930517
60232 (1999 VL148),59016.00080074679,-2.7832852771541297,-3.3191171379100104,0.21662283786143965,0.006853587801698154,-0.0037201874259910426,0.0009498878365867367
60232 (1999 VL148),59016.50080074664,-2.7798572205159457,-3.320975725095618,0.21709768340190028,0.006858638149499467,-0.0037141602317900726,0.0009494941475753434
60232 (1999 VL148),59017.00080074648,-2.776426639606787,-3.3228312970569767,0.21757233183126634,0.006863684884357642,-0.0037081265286434996,0.000949099392068406
60232 (1999 VL148),59017.500800746326,-2.7729935362349862,-3.324683850539083,0.21804678261608212,0.006868727998827226,-0.003702086314423722,0.0009487035692375501
60232 (1999 VL148),59018.000800746166,-2.7695579122126017,-3.3265333822858674,0.2185210352224789,0.0068737674854501725,-0.0036960395870036565,0.0009483066782539541
60232 (1999 VL148),59018.50080074601,-2.766119769355423,-3.3283798890401988,0.2189950891161725,0.006878803336755759,-0.0036899863442568796,0.0009479087182883434
60232 (1999 VL148),59019.00080074585,-2.7626791094829795,-3.330223367543882,0.21946894376246529,0.006883835545260519,-0.003683926584057774,0.0009475096885109862
60232 (1999 VL148),59019.5008007457,-2.759235934418545,-3.332063814537659,0.21994259862624332,0.006888864103468152,-0.003677860304281662,0.000947109588091687
60232 (1999 VL148),59020.00080074554,-2.7557902459891457,-3.333901226761212,0.22041605317197832,0.0068938890038694875,-0.0036717875028049437,0.0009467084161997836
60232 (1999 VL148),59020.50080074538,-2.7523420460255643,-3.33573560095316,0.22088930686372588,0.0068989102389423905,-0.003665708177505226,0.0009463061720041405
60232 (1999 VL148),59021.00080074523,-2.7488913363623473,-3.3375669338510603,0.2213623591651266,0.00690392780115171,-0.00365962232626145,0.0009459028546731438
60232 (1999 VL148),59021.50080074507,-2.7454381188378143,-3.3393952221914107,0.2218352095394045,0.006908941682949218,-0.0036535299469540247,0.0009454984633746979
60232 (1999 VL148),59022.00080074491,-2.7419823952940607,-3.3412204627096505,0.22230785744936798,0.0069139518767735485,-0.003647431037464944,0.0009450929972762193
60232 (1999 VL148),59022.50080074475,-2.7385241675769656,-3.343042652140159,0.22278030235740842,0.006918958375050133,-0.003641325595677912,0.000944686455544631
60232 (1999 VL148),59023.00080074459,-2.7350634375362,-3.3448617872162587,0.2232525437255013,0.006923961170191149,-0.0036352136194784685,0.0009442788373463591
60232 (1999 VL148),59023.50080074443,-2.7316002070252314,-3.3466778646702156,0.22372458101520465,0.006928960254595462,-0.003629095106754109,0.0009438701418473278
60232 (1999 VL148),59024.00080074427,-2.7281344779013312,-3.34849088123324,0.22419641368765975,0.0069339556206485685,-0.003622970055394407,0.0009434603682129537
60232 (1999 VL148),59024.50080074411,-2.7246662520255795,-3.3503008336354867,0.2246680412035893,0.006938947260722535,-0.003616838463291133,0.0009430495156081407
60232 (1999 VL148),59025.00080074395,-2.7211955312628775,-3.3521077186060566,0.22513946302330057,0.006943935167175954,-0.003610700328338381,0.0009426375831972754
60232 (1999 VL148),59025.50080074379,-2.71772231748195,-3.353911532872999,0.22561067860667983,0.006948919332353882,-0.00360455564843269,0.0009422245701442216
60232 (1999 VL148),59026.000800743626,-2.714246612555348,-3.3557122731633124,0.22608168741319767,0.006953899748587786,-0.003598404421473172,0.0009418104756123157
